1|Stop the kid|He has done nothing wrong |You see a little kid eating some ice cream throwing some plastic packaging on the ground. Do you intervene? |You pick up the loose piece of packaging and give it to the kid. He responds by apologizing and throwing it into a garbage can. | You can see the little kid is enjoying his ice cream. |5|A littering kid |A quest where you see a little kid littering|1|REGULAR|
2|Help the fisherman |Ignore the fisherman |Adventurer! I need your help! I have lost my fishing rod. Can you help me find it? |I am so glad you are helping a poor old man like me! |That is my fishing rod! Thank you, adventurer! You have made my day. |5|Fisherman’s fishing rod |A quest where you help an old fisherman |1|ITEM|
3|Save the sea star |Do not intervene |You see a sea star in front of you, do you want to save it? |You reach down, pick up the sea star and carefully put it back in the ocean |You can see the sea star happily swimming in the ocean |5|Saving a sea star |A quest where you save a sea star|1|REGULAR|
4|Pick up garbage |Ignore the garbage |As you are walking around, enjoying the beauty of the world around you, you see some garbage on the ground. |You pick up the garbage and put it into a nearby recycling bin |You can now freely enjoy the beautiful scenery. |5|Garbage| A quest where you pick up some garbage|1|REGUALAR|
5|Help the seagull |Ignore the seagull |You see a seagull with some loose packaging around its neck. It looks like it is in pain. |You carefully approach the seagull and remove it from its plastic prison. |The seagull flies blissfully in the air |5|Helping a seagull| A quest where you help a seagull|1|REGULAR|
6|Help the drowning person |They are probably fine |As you squint your eyes you make out a humanoid figure flailing their arms in the water. You yell “ARE YOU ALRIGHT?!”. They seem to be drowning! |You quickly jump into the water and swim toward the person and thanks to you they live to see another day! |Thank you for saving me, adventurer! I will never forget this! |5|Saving a drowning person | A quest where you save a drowning man |1|NPC
7|dive into|ignore|A seasoned sailor approaches you near the shore, eyes fixed on the vast expanse of the ocean. "Ahoy, adventurer! Ready to dive into a thrilling challenge beneath the waves?"|The sailor eagerly awaits your return, "Don't forget to explore the ocean depths! Look for the shimmering pearls that hide in the sand."|With a glint in their eyes, the sailor exclaims, "You've returned, and with pearls aplenty! You're a true ocean explorer!"|5|Pearl Diver|Embark on an underwater adventure to collect rare pearls hidden in the ocean floor.|2|ITEM|
8|set sail|pass|A marine biologist studying the local ecosystem approaches you with enthusiasm. "Greetings! Would you be interested in helping me gather data on the ocean's wildlife?"|The biologist seems hopeful, "Remember, observe the marine life without disturbing their natural habitat. Take note of their behavior."|The biologist smiles, "Fantastic work! Your observations will contribute to a better understanding of the ocean's delicate balance."|5|Marine Observer|Contribute to marine research by observing and documenting the behavior of oceanic creatures.|2|REGULAR|
9|cast a line|decline|A fisherman on the dock notices your presence and asks, "Hey there! Care to join me for a spot of fishing? The ocean is teeming with different species!"|The fisherman looks a bit disappointed, "Well, if you change your mind, the offer stands. Just grab a fishing rod and cast your line into the deep blue."|The fisherman's face lights up, "You've got the hang of it! Looks like you've reeled in quite the catch. Thanks for joining me!"|5|Ocean Angler|Experience the thrill of fishing and try to catch various species from the ocean.|2|REGULAR|
10|explore the isles|deny|A mysterious figure emerges from the coastal shadows, extending an old, weathered map. "Greetings, adventurer. Ready to set sail and explore the treasures hidden on this map, scattered across the uncharted isles of the ocean?"|The mysterious figure nods understandingly, "Should you change your mind, the treasures will wait. Just follow the clues on the map, and fortune may favor you."|The mysterious figure reveals a satisfied smile, "You've uncovered the treasures of the forgotten isles! May they serve you well on your journey."|5|Island Explorer|Embark on a quest to find hidden treasures on unexplored islands scattered throughout the ocean.|2|REGULAR|
11|rescue mission|skip|A distressed sailor rushes toward you, pleading for help. "My crew and I are stranded on a distant island. Ready to embark on a daring rescue mission and save us from this predicament?"|The sailor seems anxious, "Time is of the essence. Please, hurry and gather the necessary supplies for our rescue mission!"|Gratitude fills the sailor's expression, "You've saved us! We're forever grateful for your courage. The ocean is safer with heroes like you around."|5|Island Rescue|Embark on a daring mission to rescue stranded sailors on a distant island.|2|NPC|
12|dive deep|neglect|A marine scientist, equipped with advanced diving gear, approaches you with a serious expression. "I've detected unusual activity in the deep-sea trenches. Ready to showcase your courage and assist me in investigating this matter?"|The scientist looks disappointed, "If you change your mind, the mysteries of the deep sea will remain unsolved. The choice is yours."|Triumphantly, the scientist exclaims, "Your courage has paid off! We've uncovered valuable insights into the secrets of the deep-sea ecosystem."|5|Deep-Sea Investigator|Collaborate with a marine scientist to explore the mysteries of the deep-sea trenches.|2|REGULAR|
13|answer the call|refuse|A mystical voice calls out to you from the ocean waves. "Brave adventurer, I am a mermaid in need of your aid. Will you answer the call and help me recover a precious artifact stolen by underwater creatures?"|The mermaid seems disappointed, "If you reconsider, seek me out near the coral reef. Together, we can reclaim the stolen artifact."|With a grateful smile, the mermaid thanks you, "You've proven yourself a friend of the ocean. The artifact is returned, and peace is restored beneath the waves."|5|Mermaid's Quest|Embark on a magical quest to recover a stolen artifact and restore harmony to the underwater realm.|2|NPC| 
